clfname,variance_threshold,mrmr,standard_scaler,pca_n,time,train_accuracy,train_precision,train_recall,train_mcc,train_f1,test_accuracy,test_precision,test_recall,test_mcc,test_f1
knn,0.07,0,False,0,0.941314697265625,1.0,1.0,1.0,1.0,1.0,0.9635922330097088,0.9659908760018586,0.9658155035324537,0.9562344185425403,0.9658578844940001
svm_rbf,0.07,0,False,0,6.153971910476685,0.9912001213776361,0.9918800138684647,0.9917638659510047,0.9894227680131302,0.991810494212241,0.9884708737864077,0.9893303520238504,0.9892338192152549,0.9861387500549821,0.9892737500608958
dt,0.07,0,False,0,0.7482390403747559,0.9922621756941283,0.9922355620019863,0.9919122636013101,0.990697709665045,0.9920624925181984,0.941747572815534,0.9396375873581756,0.939547275577825,0.9299813669825207,0.9395142468741774
rf,0.07,0,False,0,45.60383915901184,0.9998482779547868,0.9998624862486248,0.9998553240740741,0.9998175729172633,0.9998588453742769,0.9787621359223301,0.9784524007701964,0.9785327794293094,0.9744829215774841,0.9784433093700607
mlp,0.07,0,False,0,32.968486070632935,1.0,1.0,1.0,1.0,1.0,0.9896844660194175,0.990247303879004,0.9900106406565766,0.9876256042768459,0.9900591577642309
stack,0.07,0,False,0,436.6709005832672,1.0,1.0,1.0,1.0,1.0,0.9939320388349514,0.9942973868328018,0.9942293444652835,0.9927070616850857,0.9942535463490548
